,configname,comp,selected,formationE_DFT(eV),formationE_CE(eV)
0,SCEL1_1_1_1_0_0_0/0,0.0,True,0.0,0.0
1,SCEL1_1_1_1_0_0_0/1,1.0,True,1e-12,0.0020370023189102415
2,SCEL2_1_2_1_0_0_0/0,0.5,True,-0.3791991,-0.3821053078519037
3,SCEL3_1_3_1_0_0_0/0,0.33333333333299997,True,-0.258368716667,-0.26123175653412356
4,SCEL3_1_3_1_0_0_0/1,0.666666666667,True,-0.314849516667,-0.33026460079409514
5,SCEL3_3_1_1_0_0_2/0,0.33333333333299997,True,-0.317937326667,-0.3303087418668803
6,SCEL3_3_1_1_0_0_2/1,0.666666666667,True,-0.37238111666699997,-0.3723191153220372
7,SCEL4_1_4_1_0_0_0/0,0.25,True,-0.2069667025,-0.2044047128931215
8,SCEL4_1_4_1_0_0_0/1,0.5,True,-0.274070775,-0.2695314050543223
9,SCEL4_1_4_1_0_0_0/2,0.75,True,-0.268524212499,-0.2556700955074722
10,SCEL4_2_2_1_0_0_0/0,0.25,True,-0.2958635975,-0.28683360617907894
11,SCEL4_2_2_1_0_0_0/1,0.75,True,-0.282803582499,-0.2858151050196238
12,SCEL4_4_1_1_0_0_2/0,0.25,True,-0.2628201775,-0.25228467750112044
13,SCEL4_4_1_1_0_0_2/1,0.5,True,-0.37621467999999997,-0.3652913342704483
14,SCEL4_4_1_1_0_0_2/2,0.75,True,-0.295662694999,-0.3035500601155992
